--> [LOG] Graph converted to simple and bidirected (undirected).

========================================
GCN SPEED TEST: ogbn-products_local_top52_eigen.dgl
Nodes: 2449029 | Edges: 35463126
========================================
Starting training on cuda...
Epoch 000 | Loss 1.1016 | Val Acc: 0.8559 | Test Acc: 0.6477 | Time: 5.4022s
Epoch 001 | Loss 0.6093 | Val Acc: 0.8718 | Test Acc: 0.6611 | Time: 5.1250s
Epoch 002 | Loss 0.5406 | Val Acc: 0.8752 | Test Acc: 0.6665 | Time: 5.1270s
Epoch 003 | Loss 0.5199 | Val Acc: 0.8791 | Test Acc: 0.6648 | Time: 5.1164s
Epoch 004 | Loss 0.4881 | Val Acc: 0.8592 | Test Acc: 0.6603 | Time: 5.1389s
Epoch 005 | Loss 0.4967 | Val Acc: 0.8808 | Test Acc: 0.6673 | Time: 5.2726s
Epoch 006 | Loss 0.4575 | Val Acc: 0.8844 | Test Acc: 0.6698 | Time: 5.1083s
Epoch 007 | Loss 0.4379 | Val Acc: 0.8866 | Test Acc: 0.6721 | Time: 5.2882s
Epoch 008 | Loss 0.4288 | Val Acc: 0.8857 | Test Acc: 0.6683 | Time: 5.1524s
Epoch 009 | Loss 0.4229 | Val Acc: 0.8864 | Test Acc: 0.6673 | Time: 5.1155s
Epoch 010 | Loss 0.4266 | Val Acc: 0.8823 | Test Acc: 0.6579 | Time: 5.1428s
Epoch 011 | Loss 0.4566 | Val Acc: 0.8840 | Test Acc: 0.6682 | Time: 5.3304s
Epoch 012 | Loss 0.4257 | Val Acc: 0.8773 | Test Acc: 0.6539 | Time: 5.3016s
Epoch 013 | Loss 0.4490 | Val Acc: 0.8869 | Test Acc: 0.6585 | Time: 5.2882s
Epoch 014 | Loss 0.4058 | Val Acc: 0.8873 | Test Acc: 0.6597 | Time: 5.2977s
Epoch 015 | Loss 0.3979 | Val Acc: 0.8889 | Test Acc: 0.6605 | Time: 5.2979s
Epoch 016 | Loss 0.3902 | Val Acc: 0.8912 | Test Acc: 0.6581 | Time: 5.2160s
Epoch 017 | Loss 0.3948 | Val Acc: 0.8856 | Test Acc: 0.6525 | Time: 5.0755s
Epoch 018 | Loss 0.3892 | Val Acc: 0.8889 | Test Acc: 0.6601 | Time: 5.3300s
Epoch 019 | Loss 0.3863 | Val Acc: 0.8912 | Test Acc: 0.6600 | Time: 5.2621s
Epoch 020 | Loss 0.3840 | Val Acc: 0.8898 | Test Acc: 0.6549 | Time: 5.2568s
Epoch 021 | Loss 0.3939 | Val Acc: 0.8867 | Test Acc: 0.6541 | Time: 5.2848s
Epoch 022 | Loss 0.4137 | Val Acc: 0.8903 | Test Acc: 0.6568 | Time: 5.2904s
Epoch 023 | Loss 0.3771 | Val Acc: 0.8891 | Test Acc: 0.6543 | Time: 5.2930s
Epoch 024 | Loss 0.3766 | Val Acc: 0.8883 | Test Acc: 0.6548 | Time: 5.2957s
Epoch 025 | Loss 0.3738 | Val Acc: 0.8921 | Test Acc: 0.6575 | Time: 5.2920s
