Done loading data from cached files.
--> [LOG] Graph converted to simple and bidirected (undirected).

========================================
GCN SPEED TEST: yelp_local_top168_eigen.dgl
Nodes: 45954 | Edges: 2967594
========================================
Starting training on cuda...
Epoch 000 | Loss 0.8556 | Val Acc: 0.8572 | Test Acc: 0.8563 | Time: 0.7932s
Epoch 001 | Loss 0.4559 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4921s
Epoch 002 | Loss 0.4391 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4971s
Epoch 003 | Loss 0.4387 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.5124s
Epoch 004 | Loss 0.4383 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4965s
Epoch 005 | Loss 0.4381 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.5190s
Epoch 006 | Loss 0.4330 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.5391s
Epoch 007 | Loss 0.4333 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.5487s
Epoch 008 | Loss 0.4352 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.5108s
Epoch 009 | Loss 0.4348 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.5142s
Epoch 010 | Loss 0.4303 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4821s
Epoch 011 | Loss 0.4319 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4984s
Epoch 012 | Loss 0.4298 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4729s
Epoch 013 | Loss 0.4271 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4797s
Epoch 014 | Loss 0.4294 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4695s
Epoch 015 | Loss 0.4267 | Val Acc: 0.8585 | Test Acc: 0.8586 | Time: 0.4866s
Epoch 016 | Loss 0.4271 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4742s
Epoch 017 | Loss 0.4247 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4775s
Epoch 018 | Loss 0.4248 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4814s
