Done loading data from cached files.
--> [LOG] Graph converted to simple and bidirected (undirected).

========================================
GCN SPEED TEST: yelp_local_top250_eigen.dgl
Nodes: 45954 | Edges: 3626997
========================================
Starting training on cuda...
Epoch 000 | Loss 0.4640 | Val Acc: 0.8583 | Test Acc: 0.8585 | Time: 0.6507s
Epoch 001 | Loss 0.4347 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3903s
Epoch 002 | Loss 0.4330 | Val Acc: 0.8585 | Test Acc: 0.8585 | Time: 0.3905s
Epoch 003 | Loss 0.4338 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3893s
Epoch 004 | Loss 0.4278 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3933s
Epoch 005 | Loss 0.4250 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3900s
Epoch 006 | Loss 0.4262 | Val Acc: 0.8585 | Test Acc: 0.8586 | Time: 0.3897s
Epoch 007 | Loss 0.4268 | Val Acc: 0.8585 | Test Acc: 0.8586 | Time: 0.3879s
Epoch 008 | Loss 0.4303 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3943s
Epoch 009 | Loss 0.4236 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3889s
Epoch 010 | Loss 0.4280 | Val Acc: 0.8590 | Test Acc: 0.8586 | Time: 0.3878s
Epoch 011 | Loss 0.4262 | Val Acc: 0.8585 | Test Acc: 0.8586 | Time: 0.3882s
Epoch 012 | Loss 0.4246 | Val Acc: 0.8585 | Test Acc: 0.8586 | Time: 0.4318s
Epoch 013 | Loss 0.4217 | Val Acc: 0.8585 | Test Acc: 0.8586 | Time: 0.3834s
Epoch 014 | Loss 0.4200 | Val Acc: 0.8585 | Test Acc: 0.8586 | Time: 0.3892s
Epoch 015 | Loss 0.4215 | Val Acc: 0.8590 | Test Acc: 0.8586 | Time: 0.3873s
Epoch 016 | Loss 0.4258 | Val Acc: 0.8585 | Test Acc: 0.8586 | Time: 0.3864s
Epoch 017 | Loss 0.4196 | Val Acc: 0.8585 | Test Acc: 0.8586 | Time: 0.3846s
Epoch 018 | Loss 0.4171 | Val Acc: 0.8592 | Test Acc: 0.8587 | Time: 0.3978s
Epoch 019 | Loss 0.4193 | Val Acc: 0.8585 | Test Acc: 0.8586 | Time: 0.3862s
Epoch 020 | Loss 0.4164 | Val Acc: 0.8585 | Test Acc: 0.8586 | Time: 0.3864s
Epoch 021 | Loss 0.4162 | Val Acc: 0.8590 | Test Acc: 0.8587 | Time: 0.3857s
Epoch 022 | Loss 0.4220 | Val Acc: 0.8585 | Test Acc: 0.8586 | Time: 0.3846s
Epoch 023 | Loss 0.4178 | Val Acc: 0.8585 | Test Acc: 0.8586 | Time: 0.3853s
Epoch 024 | Loss 0.4145 | Val Acc: 0.8590 | Test Acc: 0.8587 | Time: 0.3857s
Epoch 025 | Loss 0.4176 | Val Acc: 0.8585 | Test Acc: 0.8586 | Time: 0.3863s
Epoch 026 | Loss 0.4169 | Val Acc: 0.8585 | Test Acc: 0.8587 | Time: 0.3876s
Epoch 027 | Loss 0.4147 | Val Acc: 0.8588 | Test Acc: 0.8588 | Time: 0.3855s
Epoch 028 | Loss 0.4162 | Val Acc: 0.8588 | Test Acc: 0.8587 | Time: 0.4334s
