Done loading data from cached files.
--> [LOG] Graph converted to simple and bidirected (undirected).

========================================
GCN SPEED TEST: original
Nodes: 45954 | Edges: 3869956
========================================
Starting training on cuda...
Epoch 000 | Loss 0.5210 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.6470s
Epoch 001 | Loss 0.4290 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4020s
Epoch 002 | Loss 0.4228 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4016s
Epoch 003 | Loss 0.4226 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4008s
Epoch 004 | Loss 0.4235 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4026s
Epoch 005 | Loss 0.4299 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3992s
Epoch 006 | Loss 0.4231 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3994s
Epoch 007 | Loss 0.4213 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3987s
Epoch 008 | Loss 0.4198 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3996s
Epoch 009 | Loss 0.4210 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4019s
Epoch 010 | Loss 0.4208 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4073s
Epoch 011 | Loss 0.4183 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3989s
Epoch 012 | Loss 0.4191 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3976s
Epoch 013 | Loss 0.4182 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3995s
Epoch 014 | Loss 0.4188 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4024s
Epoch 015 | Loss 0.4180 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3988s
Epoch 016 | Loss 0.4229 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3983s
Epoch 017 | Loss 0.4187 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3973s
Epoch 018 | Loss 0.4202 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3966s
Epoch 019 | Loss 0.4185 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3967s
Epoch 020 | Loss 0.4162 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3978s
Epoch 021 | Loss 0.4148 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4028s
Epoch 022 | Loss 0.4141 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3992s
Epoch 023 | Loss 0.4138 | Val Acc: 0.8585 | Test Acc: 0.8586 | Time: 0.3974s
Epoch 024 | Loss 0.4162 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.4027s
Epoch 025 | Loss 0.4123 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3975s
Epoch 026 | Loss 0.4120 | Val Acc: 0.8583 | Test Acc: 0.8586 | Time: 0.3958s
